上映日期,中文片名,出品,累計銷售金額,google trend,導演,演員1,演員2,演員3,演員4,編劇,製片預算,類型,,喜歡,不喜歡,預告觀看次數
2019/6/21,恰吉,METRO-GOLDWYN-MAYER STUDIOS INC.,16378829,649,Lars Klevberg,Aubrey Plaza,Gabriel Bateman,no,no,Tyler Burton Smith,1000萬,恐怖、驚悚,,545,36,183560
2019/6/21,別問我是誰,Playtime,920125,865,Safy Nebbou,Juliette Binoche,no,no,no,Safy Nebbou,no,喜劇、劇情,,79,12,30709
2019/6/20,玩具總動員4,"BUENA VISTA INTERNATIONAL, INC.",312226255,608,Josh Cooley,Tom Hanks,Tim Allen,Joan Cusack,Annie Potts,Stephany Folsom,no,動畫、家庭、冒險、喜劇,,3825,171,686853
2019/6/20,極惡對決,K-MOVIE ENTERTAINMENT,28454846,0,李元泰,馬東石,金武烈,金成圭,no,no,no,動作、犯罪,,339,15,"246,694"
2019/6/19,安娜,LIONS GATE INTERNATIONAL (UK) LIMITED,34310260,1502,Luc Besson,Sasha Luss,Helen Mirren,Luke Evans,Cillian Murphy,Luc Besson,3000萬美金,動作、驚悚,,228,8,391930
2019/6/19,AI終結戰,Freeway Entertainment Kft.,1512423,0,Grant Sputore,Hilary Swank,Rose Byrne,Clara Rugaard,no,Michael Lloyd Green,no,科幻、驚悚,,597,14,50939
2019/6/14,劇場版歌之☆王子殿下真愛KINGDOM,KING RECORD COMPANY LIMITED,2393486,0,永岡智佳,鈴村健一,谷山紀章,宮野真守,諏訪部順一,no,no,動畫,,63,0,5789
2019/6/14,帕爾曼的音樂遍歷,"ROCO Films International, LLC",3024218,0,Alison Chernick,Martha Argerich,Evgeny Kissin,Mischa Maisky,Zubin Mehta,no,no,音樂、歌舞,,143,1,15887
2019/6/14,0.0赫茲,CONTENTS PANDA,3392830,0,劉先東,鄭恩地,李成烈,no,no,no,no,驚悚、恐怖,,400,23,135238
2019/6/14,火箭人,PARAMOUNT PICTURES CORPORATION,7789444,677,Dexter Fletcher,Taron Egerton,Jamie Bell,Bryce Dallas Howard,no,Lee Hall,4000萬,劇情、傳記、音樂、奇幻,,382,22,355639
2019/6/14,懸案密碼第64號,"MultiVisionnaire , Inc",4564878,0,Christoffer Boe,Nikolaj Lie Kaas,Fares Fares,Nicolas Bro,no,Nikolaj Arcel、Mikkel N?rgaard,3900萬丹麥克朗,犯罪、懸疑、驚悚,,278,6,27498
2019/6/12,追龍II賊王,霍爾果斯環星影視傳媒有限公司##上海杠杠影視文化有限公司##銀都機構有限公司##耳東文化（北京）有限公司##太陽娛樂文化有限公司##海墨文化傳媒股份有限公司##萬達影視傳媒有限公司##上海復逸文化傳播有限公司##電視廣播有限公司##上海新文化影業有限公司 ##阿里巴巴影業（北京）有限公司##北京博納影業集團有限公司##星王朝有限公司##浙江博納影視製作有限公司##博納影視娛樂有限公司,11761043,0,王晶、關智耀,梁家輝,古天樂,任達華,王敏德,王晶、呂冠南,no,動作、犯罪、劇情,,36,5,129535
2019/6/12,MIB星際戰警跨國行動,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,94515920,0,F. Gary Gray,Chris Hemsworth,Liam Neeson,Emma Thompson,Rafe Spall,Matt Holloway、Art Marcum,1.1億,科幻、動作、喜劇,,2274,94,630431
2019/6/11,逆轉劫局,"CASTELAO PICTURES, S.L.",935268,0,Koldo Serra,Emma Su?rez,Hugo Silva,no,no,Javier Ech?niz、Juan Antonio Gil Bengoa,no,驚悚,,180,5,15695
2019/6/6,X戰警黑鳳凰,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,105423917,0,Simon Kinberg,James McAvoy,Jennifer Lawrence,Michael Fassbender,Nicholas Hoult,Simon Kinberg,no,科幻、動作、冒險,,985,82,953747
2019/6/6,爺爺與喵,Kadokawa Corporation,1478990,0,岩合光昭,立川志之輔,柴崎幸,小林薰,no,坪田文,no,劇情,,424,7,27233
2019/6/6,寵物當家2,UNIVERSAL INTERNATIONAL FILMS LLC,57589899,0,Chris Renaud,Kevin Hart,Albert Brooks,Harrison Ford,Tiffany Haddish,Brian Lynch,no,冒險、動畫、家庭、喜劇,,2457,97,1165991
2019/6/6,亡命之途,想映電影有限公司##有限?社四面楚歌,1612662,0,半野喜弘,妻夫木聰,豐川悅司,謝欣穎,莊凱勛,半野喜弘,no,犯罪、驚悚、劇情,,157,9,123207
2019/5/31,紅色密令,EMBANKMENT FILMS LIMITED,1249285,0,Trevor Nunn,Judi Dench,no,no,no,Lindsay Shapero,no,劇情、傳記、驚悚,,48,2,21658
2019/5/31,出發,相知國際股份有限公司,15405191,2072,黃茂森,陳彥博,no,no,no,黃茂森,no,紀錄,,2602,37,128694
2019/5/31,恐怖大媽,UNIVERSAL INTERNATIONAL FILMS LLC,17802279,0,Tate Taylor,Octavia Spencer,Juliette Lewis,Allison Janney,Luke Evans,Scotty Landes,500萬,恐怖、驚悚,,1663,52,1095973
2019/5/29,哥吉拉II怪獸之王,WARNER BROS. PICTURES INTERNATIONAL.,259835598,0,Michael Dougherty,Vera Farmiga,Sally Hawkins,Ken Watanabe,Kyle Chandler,Michael Dougherty、Zach Shields,1.7億,科幻、動作、冒險、恐怖,,5233,151,1402583
2019/5/29,CODEGEASS復活的魯路修,SUNRISE INC,6584419,523,谷口悟朗,福山潤,野上由加奈,櫻井孝宏,no,大河?一樓,no,動畫、動作、冒險,,5791,81,321307
2019/5/24,鬼入鏡靈之鬼跡,Nikkatsu Corporation,2060944,0,Kimo Stamboel,Caitlin Halderman,Jefri Nichol,Marsha Aruan,no,Kimo Stamboel,no,恐怖、驚悚、奇幻、冒險,,70,4,38806
2019/5/24,城市獵人,SOFINERGIE CAPAC,4476479,1024,Philippe Lacheau,Philippe Lacheau,no,no,,Philippe Lacheau,,動作、喜劇,,1370,132,"306,661"
2019/5/24,完美搭檔,ATRIUM PRODUCTIONS KFT.,3143837,705,陸尚孝,申河均,李光洙,no,no,陸尚孝,no,喜劇、劇情,,308,2,"64,078"
2019/5/24,五月天人生無限公司,相信音樂國際股份有限公司##安樂電影公司(聯合出品),54167349,574,陳奕仁,黃渤,梁家輝,五月天,no,no,no,音樂、劇情、紀錄,,2416,177,"1,420,876"
2019/5/24,選情尬翻天,"Lions Gate International(UK), Limited.",2865878,0,Jonathan Levine,Charlize Theron,Seth Rogen,Alexander Skarsg?rd,no,Dan Sterling、Liz Hannah,no,喜劇、愛情,,269,19,"19,409"
2019/5/22,阿拉丁,"BUENA VISTA INTERNATIONAL,INC.",290321074,672,Guy Ritchie,Will Smith,Billy Magnussen,Mena Massoud,no,Guy Ritchie、John August,1.83億,家庭、奇幻、冒險、音樂,,3454,101,"596,449"
2019/5/17,我的第一任,寬銀慕電影製作有限公司,894913,0,陳鴻儀,郭采潔,李東學,鄭愷,陳博正,no,no,愛情,,1052,36,"199,542"
2019/5/17,你的臉+光,汯?霖電影有限公司##財團法人公共電視文化事業基金會,1488500,2481,蔡明亮,李康生,黃雪鳳,許林玉容,劉金花,no,no,劇情、紀錄,,95,0,"7,493"
2019/5/17,醜娃娃大冒險,"STX Productions, LLC",1383780,0,Kelly Asbury,Kelly Clarkson,no,no,no,Alison Peck、Robert Rodriguez,no,家庭、奇幻、冒險、動畫,,67,13,"20,141"
2019/5/17,狗狗的旅程,UNIVERSAL INTERNATIONAL FILMS LLC,12429391,0,Gail Mancuso,Dennis Quaid,Josh Gad,no,no,W. Bruce Cameron、Cathryn Michon、Maya Forbes、Wallace Wolodarsky,no,家庭、喜劇、冒險,,3054,33,"1,039,928"
2019/5/17,樂獄,"華視娛樂投資集團股份有限公司 (HS Entertainment Group Incorporated)##文達影業有限公司 (Winday Pictures Ltd)##文達文創股份有限公司 (Winday Culture Co., Ltd.)##福斯傳媒有限公司##MM2 ENTERTAINMENT PTE LTD mm2影視娛樂製作有限公司##福建?皕~影業有限公司",5253316,0,孫啟明,林哲熹,紀言愷,范少勳,歐陽倫,孫啟明,no,劇情、音樂、勵志,,518,49,"68,922"
2019/5/15,捍衛任務3全面開戰,LIONS GATE INTERNATIONAL (UK) LIMITED,142867200,0,Chad Stahelski,Keanu Reeves,Halle Berry,Laurence Fishburne,Mark Dacascos,Derek Kolstad,no,犯罪、動作、驚悚,,1348,49,"406,743"
2019/5/10,芭蕾王者,The Match Factory GmbH,960384,0,Iciar Bollain,Edilson Manuel Olbera,Keyvin Martinez,no,no,no,no,奇幻,,64,4,"5,305"
2019/5/10,P風暴,東方影業出品有限公司,2539150,0,林德祿,古天樂,鄭嘉穎,張智霖,林家棟,黃浩華、何文龍,no,動作、犯罪,,438,32,"136,541"
2019/5/9,詐騙女神,UNIVERSAL INTERNATIONAL FILMS LLC,84441473,0,Chris Addison,Anne Hathaway,Rebel Wilson,Alex Sharp,Tim Blake Nelson,Jac Schaeffer,no,喜劇,,8142,110,"1,253,455"
2019/5/9,名偵探皮卡丘,WARNER BROS. PICTURES INTERNATIONAL.##WARNER BROS. PICTURES INTERNATIONAL.,160781606,485,Rob Letterman,,,,,Nicole Perlman、Rob Letterman,1.5億,家庭、奇幻、懸疑、動畫,,9197,282,"2,639,272"
2019/5/7,赤手登峰,Park Circus Limited,1301080,0,金國威_Jimmy Chin、Elizabeth Chai Vasarhelyi,Alex Honnold,no,no,no,no,no,紀錄、運動,,147,2,"15,393"
2019/5/3,阿虎,紘荺文創影業有限公司##玖伍尊影業有限公司,1138402,1204,鄭倫境,邵翔,呂雪鳳,林鶴軒,鄭倫境,徐志學,no,劇情、動作、犯罪,,133,75,"28,362"
2019/5/3,柏林我愛你,Atrium Productions Kft.,989053,0,Til Schweiger、Fernando Eimbcke、Dennis Gansel,Keira Knightley,Helen Mirren,Luke Wilson,Jim Sturgess,Fernando Eimbcke、Dennis Gansell,no,劇情、愛情,,79,2,"18,553"
2019/5/3,大冒險家,SHANGRILA FILMS LLC,4240573,788,Chris Butler,Hugh Jackman,Zach Galifianakis,Zoe Saldana,Timothy Olyphant,Chris Butler,no,家庭、冒險、奇幻、動畫,,85,6,"145,716"
2019/5/3,幻術,費思兔文化娛樂股份有限公司,2428280,880,符昌鋒,石峰,林煒,竇智孔,阿布,蘇敬軾,no,劇情,,410,143,"625,688"
2019/5/3,福爾圖娜之瞳,"TOHO CO., LTD.",1986035,0,三木孝浩,神木隆之介,有村架純,no,no,三木孝浩,no,愛情、奇幻、科幻、劇情,,339,4,"44,332"
2019/4/26,幸福的拉札洛,The Match Factory GmbH,1549663,0,Alice Rohrwacher,Alba Rohrwacher,Nicoletta Braschi,no,no,Alice Rohrwacher,no,劇情,,43,1,"12,368"
2019/4/24,復仇者聯盟終局之戰,"BUENA VISTA INTERNATIONAL, INC.",910450769,609,Anthony Russo、Joe Russo,Chris Evans,Robert Downey Jr.,Scarlett Johansson,Tom Holland,Christopher Markus、Stephen McFeely,3.56億,科幻、動作、冒險、奇幻,,31000,610,"3,133,317"
2019/4/19,牛津解密,Freeway Entertainment Kft.,2652653,0,Farhad Safinia,Sean Penn,Mel Gibson,Jeremy Irvine,Stephen Dillane,Farhad Safinia、John Boorman、Todd Komarnicki,no,傳記、懸疑、驚悚、劇情,,130,6,"44,939"
2019/4/19,原本以為只是手機掉了,"TOKYO BROADCASTING SYSTEM TELEVISION, INC.",1949391,0,中田秀夫,北川景子,田中圭,千葉雄大,no,中田秀夫,no,懸疑、驚悚,,129,0,"40,812"
2019/4/19,淪落人,無際電影製作有限公司 No Ceiling Film Production Limited,3210600,0,陳小娟,黃秋生,姬素孔尚治_Crisel Consunji,李璨琛,葉童,陳小娟,no,劇情,,2389,63,"284,171"
2019/4/19,魔力女聲,ME TEEN SPIRIT LIMITED,1775826,0,Max Minghella,Elle Fanning,Rebecca Hall,no,no,Max Minghella,no,音樂、劇情,,72,4,"151,764"
2019/4/19,電影刀劍亂舞,Marvelous Inc.,3317541,0,耶雲哉治,鈴木擴樹,荒牧慶?,北村諒,和田雅成,耶雲哉治,no,劇情,,287,29,"23,877"
2019/4/17,哭泣的女人,WARNER BROS. PICTURES INTERNATIONAL.,31268319,502,Michael Chaves,Linda Cardellini,Raymond Cruz,Patricia Velasquez,no,Mikki Daughtry、Tobias Iaconis,900萬,恐怖、驚悚、懸疑,,639,43,"734,593"
2019/4/12,禁入墳場,PARAMOUNT PICTURES CORPORATION,21449157,434,Kevin K?lsch、Dennis Widmyer,Jason Clarke,John Lithgow,no,no,David Kajganich、Jeff Buhler,2100萬,恐怖、驚悚,,185,12,"232,194"
2019/4/12,沒有你的生日,CONTENTS PANDA,2786214,0,李鐘言,全道嬿,尹燦榮,薛耿求,權昭賢,李滄東、Jun-dong Lee、Kim Soon-mo、Dong-ha Lee,no,劇情、家庭,,362,3,"70,748"
2019/4/12,女王的柯基,CHARADES SAS,23219463,0,Vincent Kesteloot、Ben Stassen,Rob Sprackling,Johnny Smith,no,no,no,no,動畫,,336,12,"62,781"
2019/4/12,十二個想死的少年,NIPPON TELEVISION NETWORK CORPORATION,4306354,0,堤幸彥_Yukihiko Tsutsumi,橋本環奈_Kanna Hashimoto,杉?花_Sugisaki Hana,no,no,倉持裕,no,懸疑、驚悚,,338,13,"123,374"
2019/4/12,異類占領,"Storyteller Distribution Co., LLC",1107394,0,Rupert Wyatt,Vera Farmiga,John Goodman,James Ransone,no,Erica Beeney、Rupert Wyatt,2500萬,科幻、驚悚,,277,14,"45,887"
2019/4/11,地獄怪客血后的崛起,"MILLENNIUM MEDIA, INC.",31441007,591,Neil Marshall,Milla Jovovich,Sasha Lane,David Harbour,no,Andrew Cosby,5000萬,奇幻、動作、冒險,,1700,81,"212,796"
2019/4/4,LoveLiveSunshine學園偶像電影彩虹彼端,"BANDAI NAMCO

Arts Inc",2321284,0,Kazuo Sakai,鈴木愛奈,小宮有紗,齊藤朱夏,逢田梨香子,矢立肇,no,音樂、動畫,,110,0,"8,100"
