導演1搜尋,導演2搜尋,導演3搜尋,演員1搜尋,演員2搜尋,演員3搜尋,演員4搜尋,編劇1搜尋,編劇2搜尋,編劇3搜尋,編劇4搜尋
"607,000",,,"149,000","843,000","294,000","366,000","18,200","127,000","325,000",
"45,800",,,"8,550",,,,"11,100","3,860",837,
"8,080,000",,,"17,700,000","2,430,000","91,200","3,670,000","19,700",,,
"1,040,000",,,"4,650,000","2,130,000","183,000","2,720,000","400,000",,,
"256,000",,,"342,000","115,000","138,000","33,900","366,000","43,200",,
"26,300",,,"238,000","649,000","56,200","836,000","2,060",,,
"28,700",,,"183,000","161,000","124,000","328,000","12,700",,,
"28,700",,,"183,000","161,000","124,000","340,000","12,700",,,
"132,000",,,"344,000","272,000","315,000","131,000","53,000","7,280",,
"295,000",,,"184,000","13,700,000","182,000","3,120,000","10,200",,,
"16,700",,,"359,000","351,000","91,000","160,000",,,,
"12,300",,,"414,000","128,000","294,000","14,700","6,680","12,800",,
"940,000",,,"193,000","650,000","56,000","868,000","627,000",,,
"16,500",,,"38,700","33,900",,,"9,170","30,400",,
"53,600",,,"394,000","440,000","28,100","39,200","48,600","20,600",,
"184,000",,,"98,500","382,000","56,200","116,000","4,160,000",,,
"19,800",,,"59,000","67,000","237,000","348,000","11,400",,,
"43,800",,,"234,000","197,000","85,700","7,610,000","6,990","101,000",,
"30,300",,,,,,,,,,
"1,380,000",,,"233,000","85,700","146,000",,"351,000",,,
"121,000",,,"344,000",,,,"1,010","36,100","1,050",
"17,600",,,"53,300","676,000","84,900",,"81,300",,,
"2,050","39,900",,"1,260,000","59,700",999,"1,110,000","2,140","17,700",,
"32,900",,,"94,000","771,000","153,000","444,000","47,900",,,
"149,000",,,"93,000","430,000","162,000","28,700","34,600","234,000",,
"3,580,000",,,"554,000",,,,,,,
"19,400",,,"2,200,000","292,000","88,000","149,000",453,,,
"527,000",,,"67,100","224,000","167,000","12,100","77,000","5,110",,
"121,000",,,"104,000","233,000","813,000","239,000","5,290","1,820",,
"8,870",,,"12,700","162,000","21,200,000",,"89,800",,,
"248,000",,,"162,000","67,500","67,500",,"43,700",,,
"313,000",,,"7,890,000","29,900","20,100","33,400","12,700",,,
"8,950,000",,,"4,740,000","6,320,000",,,"3,180,000",,,
"56,500",,,"113,000","1,220,000",,,"37,800",,,
"56,400",,,"125,000","132,000","226,000",,"6,900",,,
"257,000",,,"204,000","94,400","2,810,000",,"86,300","32,000",,
"52,400",,,"5,740","9,630",,,"11,200","33,100",,
"362,000",,,"826,000","371,000","86,200","113,000","3,880",,,
