上映日期,中文片名,累計銷售金額,喜歡,不喜歡,預告觀看次數,類型,出品,google trend,導演,演員1,演員2,演員3,演員4,編劇,製片預算
2017/9/8,帶來末日的女孩,196976,260,25,76562,動作、恐怖、懸疑、驚悚,,,,,,,,,
2017/9/8,我只是個計程車司機,39399150,1349,39,351290,動作、劇情,,,,,,,,,
2017/9/8,她的應召日記,50350,4440,2809,7300373,劇情,,,,,,,,,
2017/9/8,哈佛沒教的幸福課,2502663,1323,86,433127,喜劇、劇情,,,,,,,,,
2017/9/8,失樂園,363625,97,37,232582,愛情、劇情,,,,,,,,,
2017/9/7,獵殺星期一,68647131,1296,32,274801,推理、劇情 ,,,,,,,,,
2017/9/7,牠(數位IMAX2D版),116367230,937,60,392382,驚悚、劇情,,,,,,,,,
2017/9/1,殺破狼.貪狼,4262112,481,54,245123,犯罪、劇情,,,,,,,,,
2017/9/1,正念的奇蹟,3314368,223,13,31403,紀錄,,,,,,,,,
2017/9/1,還有機會說再見,4331897,1002,20,135729,奇幻、劇情,,,,,,,,,
2017/9/1,星光美男劇場版榮耀之爭,723274,185,31,21860,動畫,,,,,,,,,
2017/9/1,玻璃城堡,1003389,140,3,17486,戲劇,,,,,,,,,
2017/9/1,瑪麗與魔女之花,9608623,79,4,20095,奇幻、冒險,,,,,,,,,
